Lista towarÛw
Id	Nazwa	Na kasie	Kod	Marøa za≥.%	Marøa rz.%	Cena ew.	Cena det.	VAT %	IloúÊ	JM	Asortyment	Kod CN
1	Woda Øywiec ZdrÛj 0,5L N/G	Woda Øywiec ZdrÛj 0,5l	5900541000062	50,00	67,65	1,70	3,50	23 %	16,000	0.001 l	Woda 0,5	
2	Butelka plastikowa	Butelka plastikowa	1	0,00		0,00	0,50	ZW	-3210,000	1.000 szt	Opakowania	
3	Puszka	Puszka	2	0,00		0,00	0,50	ZW	-9911,000	1.000 szt	Opakowania	
4	Monster Mango Loco	Monster energetyk	5060639121700	30,00	67,55	3,39	6,99	23 %	-12,000	1.000 szt	MONSTER	
5	Oranøada Hellena czerwona 1,25L	Oranøada Hellena	5900352015798	30,00	76,58	2,69	4,99	5 %	-1,000	1.000 szt	HELLENA	
6	Zapalniczka summer	Zapalniczka summer	5908249933354	30,00	131,43	1,05	2,99	23 %	22,000	1.000 szt	Akcesoria tytoniowe	
7	LD Blue KS	LD Blue KS	59072317	5,00	4,75	19,79	25,50	23 %	0,000	1.000 szt	Papierosy	
8	iD Capsule Polar Green	iD Capsule Polar Green	4030700178941	0,00	5,48	8,40	10,90	23 %	3,000	1.000 szt	NEO VEO TEREA FIT ID	
9	OCB Filters	OCB Filters	30107014	30,00	63,53	4,47	8,99	23 %	3,000	1.000 szt	Akcesoria tytoniowe	
10	Karty HIPZZ Mentol	Karty HIPZZ Mentol	5903148944999	30,00	31,78	1,29	2,09	23 %	0,000	1.000 szt	Akcesoria tytoniowe	
11	Gilzy Dark Horse 200	Gilzy Dark Horse 200	5903240799879	30,00	57,61	3,09	5,99	23 %	0,000	1.000 szt	Akcesoria tytoniowe	
12	Gilzy Dark Horse 500szt	Gilzy Dark Horse 500szt	5903240799916	30,00	52,82	6,38	11,99	23 %	-1,000	1.000 szt	Akcesoria tytoniowe	
13	ISENZJA Ice Menthol	iD Polar Green	4030700178828	0,00	4,99	9,21	11,90	23 %	5,000	1.000 szt	NEO VEO TEREA FIT ID	
14	Bibu≥ki Orion 5905668169456	Bibu≥ki Orion	5905668169456	30,00	210,64	0,47	1,80	23 %	44,000	1.000 szt	Akcesoria tytoniowe	
15	Gilzy Dark Horse 100szt	Gilzy Dark Horse 100szt	5903240799848	30,00	134,78	1,38	3,99	23 %	0,000	1.000 szt	Akcesoria tytoniowe	
16	Gilzy Dark Horse Menthol 100szt	Gilzy Dark Horse Menthol 100szt	5903240799954	30,00	141,67	1,68	4,99	23 %	0,000	1.000 szt	Akcesoria tytoniowe	
17	TytoÒ LM Red 30g	TytoÒ LM Red 30g	5903621062486	5,00	3,59	21,74	27,70	23 %	8,000	1.000 szt	Tytonie	
18	TytoÒ LM Blue 30g	TytoÒ LM Blue 30g	5903621220268	5,00	3,59	21,74	27,70	23 %	0,000	1.000 szt	Tytonie	
19	TytoÒ PS Blue 30g	TytoÒ PS Blue 30g	4030700116592	5,00	3,81	25,45	32,50	23 %	0,000	1.000 szt	Tytonie	
20	TytoÒ PS Black 30g	TytoÒ PS Black 30g	4030700112624	5,00	3,81	25,45	32,50	23 %	10,000	1.000 szt	Tytonie	
21	TEREA Russet	Wk≥ad TEREA ILUMA	59073499	0,00	6,42	15,27	19,99	23 %	0,000	1.000 szt	NEO VEO TEREA FIT ID	
22	TEREA Kelly	Wk≥ad TEREA Kelly	59073475	0,00	12,22	14,48	19,99	23 %	0,000	1.000 szt	NEO VEO TEREA FIT ID	
